,ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
57,8,White Non-Hispanic,2019,2019,87424,1469.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
58,9,Hispanic,2019,2019,54390,2849.0,"Atlanta-Sandy Springs-Roswell, GA",31000US12060,atlanta-sandy-springs-roswell-ga
59,0,Total,2018,2018,61937,94.0,United States,01000US,united-states
60,1,White,2018,2018,65902,120.00000000000001,United States,01000US,united-states
61,2,Black,2018,2018,41511,183.0,United States,01000US,united-states
62,3,Native American,2018,2018,44772,1038.0,United States,01000US,united-states
63,4,Asian,2018,2018,87243,698.0,United States,01000US,united-states
64,5,Pacific Islander,2018,2018,61911,2303.0,United States,01000US,united-states
65,6,Other,2018,2018,48983,451.0,United States,01000US,united-states
66,7,Two Or More,2018,2018,59199,893.9999999999999,United States,01000US,united-states
67,8,White Non-Hispanic,2018,2018,67937,151.0,United States,01000US,united-states
68,9,Hispanic,2018,2018,51404,182.0,United States,01000US,united-states
69,0,Total,2018,2018,58756,711.0,Georgia,04000US13,georgia
70,1,White,2018,2018,66421,732.0,Georgia,04000US13,georgia
71,2,Black,2018,2018,45100,878.0,Georgia,04000US13,georgia
72,3,Native American,2018,2018,31917,7269.000000000001,Georgia,04000US13,georgia
73,4,Asian,2018,2018,81531,2508.0,Georgia,04000US13,georgia
74,5,Pacific Islander,2018,2018,40959,9637.0,Georgia,04000US13,georgia
75,6,Other,2018,2018,50121,3512.0,Georgia,04000US13,georgia
76,7,Two Or More,2018,2018,56856,5680.0,Georgia,04000US13,georgia
77,8,White Non-Hispanic,2018,2018,68055,1037.0,Georgia,04000US13,georgia
78,9,Hispanic,2018,2018,50955,1087.0,Georgia,04000US13,georgia
79,0,Total,2018,2018,64461,3851.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
80,0,Total,2018,2018,70930,1226.0,"Fulton County, GA",05000US13121,fulton-county-ga
81,1,White,2018,2018,95450,4486.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
82,1,White,2018,2018,100303,5600.0,"Fulton County, GA",05000US13121,fulton-county-ga
83,2,Black,2018,2018,50901,2589.0,"DeKalb County, GA",05000US13089,dekalb-county-ga
84,2,Black,2018,2018,48035,2742.0,"Fulton County, GA",05000US13121,fulton-county-ga
