SalesKey	Region	Month	Median price	Year	MonthNo
141	Northwest Atlanta	January	45000	2012	1
142	Norwood Manor	January	23000	2012	1
143	Oakland	January	null	2012	1
144	Oakland City	January	13000	2012	1
145	Old Fourth Ward	January	76000	2012	1
146	Old Gordon	January	null	2012	1
147	Orchard Knob	January	17000	2012	1
148	Ormewood Park	January	169000	2012	1
149	Paces	January	430000	2012	1
150	Peachtree Battle	January	106000	2012	1
151	Peachtree Center	January	30000	2012	1
152	Peachtree Heights East	January	380000	2012	1
153	Peachtree Heights West	January	149000	2012	1
154	Peachtree Hills	January	287000	2012	1
155	Peachtree Park	January	375000	2012	1
156	Penelope	January	13000	2012	1
157	Peoplestown	January	46000	2012	1
158	Perkerson	January	23000	2012	1
159	Peyton Forest	January	42000	2012	1
160	Piedmont Heights	January	380000	2012	1
161	Pine Hills	January	160000	2012	1
162	Pittsburgh	January	8000	2012	1
163	Pleasant Hill	January	775000	2012	1
164	Polar Rock	January	11000	2012	1
165	Pomona Park	January	26000	2012	1
166	Poncey-Highland	January	147000	2012	1
167	Princeton Lakes	January	90000	2012	1
168	Randall Mill	January	null	2012	1
169	Rebel Valley Forest	January	9000	2012	1
170	Reynoldstown	January	100000	2012	1
171	Ridgecrest Forest	January	15000	2012	1
172	Ridgedale Park	January	114000	2012	1
173	Ridgewood Heights	January	271000	2012	1
174	Riverside	January	68000	2012	1
175	Rockdale	January	225000	2012	1
176	Rosedale Heights	January	13000	2012	1
177	Sandtown	January	152000	2012	1
178	Scotts Crossing	January	20000	2012	1
179	Sherwood Forest	January	435000	2012	1
180	SoNo	January	67000	2012	1
181	South Atlanta	January	10000	2012	1
182	South Downtown	January	35000	2012	1
183	South River Gardens	January	21000	2012	1
184	South Tuxedo Park	January	595000	2012	1
185	Southside	January	17000	2012	1
186	Southwest Atlanta	January	45000	2012	1
187	Springlake	January	608000	2012	1
188	Summerhill	January	85000	2012	1
189	Swallow Circle-Baywood	January	12000	2012	1
190	Sweet Auburn	January	52000	2012	1
191	Sylvan Hills	January	22000	2012	1
192	Thomasville Heights	January	8000	2012	1
193	Tuxedo Park	January	1020000	2012	1
194	Underwood Hills	January	151000	2012	1
195	Venetian Hills	January	27000	2012	1
196	Vine City	January	100000	2012	1
197	Virginia Highland	January	370000	2012	1
198	Washington Park	January	32000	2012	1
199	Wesley Battle	January	625000	2012	1
200	West End	January	37000	2012	1
201	West Highlands	January	207000	2012	1
202	West Lake	January	15000	2012	1
203	West Manor	January	54000	2012	1
204	West Paces Ferry	January	483000	2012	1
205	Westhaven	January	54000	2012	1
206	Westminster-Milmar	January	438000	2012	1
207	Westover Plantation	January	125000	2012	1
208	Westside	January	27000	2012	1
209	Westview	January	20000	2012	1
210	Westview Cemetery	January	null	2012	1
211	Westwood Terrace	January	25000	2012	1
212	Whitewater Creek	January	550000	2012	1
213	Whittier Mill Village	January	193000	2012	1
214	Wildwood	January	175000	2012	1
215	Wilson Mill Meadows	January	18000	2012	1
216	Wisteria Gardens	January	null	2012	1
217	Woodfield	January	null	2012	1
218	Woodland Hills	January	81000	2012	1
219	Wyngate	January	null	2012	1
220	Adair Park	February	25000	2012	2
221	Adams Park	February	27000	2012	2
222	Adamsville	February	11000	2012	2
223	Almond Park	February	14000	2012	2
224	Ansley Park	February	778000	2012	2
225	Arden-Habersham	February	null	2012	2
226	Ardmore	February	352000	2012	2
227	Argonne Forest	February	null	2012	2
228	Arlington Estates	February	33000	2012	2
229	Ashview Heights	February	17000	2012	2
230	Atkins Park	February	296000	2012	2
231	Atlanta University Center	February	28000	2012	2
232	Atlantic Station	February	115000	2012	2
233	Audobon Forest	February	null	2012	2
234	Audobon Forest West	February	null	2012	2
235	Baker Hills	February	27000	2012	2
236	Bakers Ferry	February	null	2012	2
237	Bankhead	February	10000	2012	2
238	Bankhead-Bolton	February	null	2012	2
239	Beecher Hills	February	29000	2012	2
240	Ben Hill	February	55000	2012	2
241	Ben Hill Forest	February	null	2012	2
242	Ben Hill Terrace	February	null	2012	2
243	Benteen Park	February	120000	2012	2
244	Berkeley Park	February	175000	2012	2
245	Betmar Lavilla	February	34000	2012	2
246	Blair Villa-Poole Creek	February	null	2012	2
247	Blandtown	February	139000	2012	2
248	Bolton	February	125000	2012	2
249	Bolton Hills	February	null	2012	2
250	Boulder Park	February	null	2012	2
251	Boulevard Heights	February	50000	2012	2
252	Brandon	February	625000	2012	2
253	Brentwood	February	null	2012	2
254	Brookview Heights	February	null	2012	2
255	Brookwood	February	77000	2012	2
256	Brookwood Hills	February	718000	2012	2
257	Brookwood Hills Conservation District	February	765000	2012	2
258	Browns Mill Park	February	44000	2012	2
259	Buckhead	February	280000	2012	2
260	Buckhead Forest	February	292000	2012	2
261	Buckhead Heights	February	215000	2012	2
262	Bush Mountain	February	10000	2012	2
263	Cabbagetown	February	194000	2012	2
264	Campbellton Road	February	14000	2012	2
265	Candler Park	February	215000	2012	2
266	Capitol View	February	28000	2012	2
267	Capitol View Manor	February	9000	2012	2
268	Carey Park	February	14000	2012	2
269	Carroll Heights	February	10000	2012	2
270	Carver Hills	February	8000	2012	2
271	Cascade Avenue	February	16000	2012	2
272	Cascade Heights	February	37000	2012	2
273	Castleberry Hill	February	87000	2012	2
274	Castleberry Hill Landmark District	February	87000	2012	2
275	Castlewood	February	null	2012	2
276	Centennial Hill	February	118000	2012	2
277	Center Hill	February	10000	2012	2
278	Channing Valley	February	null	2012	2
279	Chastain Park	February	840000	2012	2
280	Chosewood Park	February	40000	2012	2
